area_m2,n_cuartos,n_banos,n_garajes,tipo_inmueble,zona,valor_venta,barrio_comun
100.0,3.0,2,1.0,Apartamento,CHAPINERO,385000000,GALERIAS
34.0,1.0,2,1.0,Apartamento,NORTE,190810000,EL REDIL
157.0,3.0,4,2.0,Apartamento,NOROCCIDENTE,720000000,CERROS DE NIZA
173.0,3.0,4,1.0,Casa,OTROS,1018660600,
190.0,3.0,4,2.0,Apartamento,NORTE,1850000000,CERROS DE LOS ALPES
52.0,3.0,1,1.0,Apartamento,NOROCCIDENTE,210000000,COLINA GILMAR
104.0,2.0,3,2.0,Apartamento,NORTE,700000000,CHICO NORTE III
354.0,4.0,5,4.0,Apartamento,NORTE,4385120000,EL REFUGIO
49.72,2.0,2,1.0,Apartamento,CHAPINERO,356208095,GALERIAS
64.0,2.0,2,1.0,Apartamento,NORTE,370000000,SAN PATRICIO
345.0,4.0,5,4.0,Casa,NOROCCIDENTE,1380000000,SUBA
192.0,3.0,4,3.0,Apartamento,NORTE,2880000000,CHICO
188.0,3.0,4,4.0,Apartamento,NORTE,990000000,CHICO NORTE III
185.0,3.0,4,2.0,Apartamento,NORTE,3200000000,CHICO
77.0,3.0,2,1.0,Apartamento,OCCIDENTAL,470000000,CIUDAD SALITRE OCCIDENTAL
104.0,2.0,2,1.0,Apartamento,NORTE,460000000,SANTA BARBARA CENTRAL
106.0,2.0,3,2.0,Apartamento,NORTE,895000000,ANTIGUO CONTRY
206.0,3.0,3,4.0,Apartamento,NORTE,1390000000,ALTOS DEL REFUGIO
195.0,2.0,3,2.0,Casa,NORTE,650000000,EL CONTADOR
147.0,3.0,4,2.0,Apartamento,NORTE,890000000,CERRO DE LOS ALPES
140.0,3.0,3,2.0,Apartamento,NORTE,650000000,SALITRE GRECO
124.0,2.0,3,2.0,Apartamento,SIN DATO,650000000,COLINA CAMPESTRE
108.0,4.0,3,2.0,Apartamento,NORTE,540000000,SANTA BÁRBARA
74.0,2.0,2,1.0,Apartamento,NORTE,470000000,CEDRITOS
62.0,3.0,2,1.0,Apartamento,OCCIDENTAL,320000000,CIUDAD VILLA ALSACIA
234.0,5.0,4,3.0,Apartamento,NORTE,1500000000,SAN PATRICIO-USAQUÉN
208.0,3.0,5,2.0,Apartamento,NORTE,1600000000,BOSQUE DE PINOS-USAQUÉN
171.8,3.0,2,2.0,Casa,SIN DATO,700000000,PUENTE LARGO
141.0,3.0,4,2.0,Apartamento,NORTE,850000000,ARBOLEDA DEL COUNTRY
60.0,2.0,2,1.0,Apartamento,NORTE,360000000,ALTOS DE BELLA SUIZA
167.0,2.0,3,2.0,Apartamento,NORTE,1080000000,EL REFUGIO
91.0,5.0,4,0.0,Casa,SUR,270000000,LA ALAMEDA
160.0,5.0,4,1.0,Casa,SUR,495000000,VENECIA
149.0,3.0,4,3.0,Apartamento,NOROCCIDENTE,800000000,ALTOS DE SOTILEZA
104.0,3.0,2,2.0,Apartamento,NORTE,580000000,EL REFUGIO
83.0,3.0,2,2.0,Apartamento,OCCIDENTAL,685000000,SALITRE III SECTOR
198.0,4.0,4,2.0,Casa,NOROCCIDENTE,650000000,TIERRA LINDA
93.0,3.0,2,1.0,Apartamento,NOROCCIDENTE,400000000,COLINA CAMPESTRE
78.0,2.0,2,1.0,Apartamento,NOROCCIDENTE,390000000,PASADENA
94.0,2.0,3,2.0,Apartamento,NORTE,715000000,BELLA SUIZA
60.0,1.0,2,2.0,Apartamento,NORTE,620000000,CHICO RESERVADO
102.0,3.0,4,1.0,Apartamento,NORTE,375000000,EL CEREZO
300.0,4.0,4,3.0,Apartamento,NORTE,3600000000,CHICO RESERVADO
51.0,1.0,2,1.0,Apartamento,NORTE,295000000,CEDRITOS-USAQUÉN
148.0,3.0,3,2.0,Apartamento,NORTE,760000000,CHICO SAN PATRICIO
58.0,1.0,2,2.0,Apartamento,NORTE,395000000,SANTA BARBARA OCCIDENTAL
140.0,2.0,3,2.0,Apartamento,NORTE,950000000,BOSQUES DE MEDINA
80.0,3.0,2,1.0,Casa,NORTE,350000000,CEDRITOS
59.0,1.0,2,1.0,Apartamento,CENTRO,350000000,BOSQUE IZQUIERDO
103.0,2.0,3,2.0,Apartamento,NOROCCIDENTE,680000000,BATÁN
120.0,3.0,3,2.0,Apartamento,CHAPINERO,850000000,SIERRAS DEL ESTE
135.0,4.0,3,2.0,Apartamento,OCCIDENTAL,850000000,CIUDAD SALITRE ORIENTAL
